dx,opname,optype,approach,position,count
Varicose vein of lower limb ,Ligation and stripping,Vascular,Open,Supine,26
Prostate cancer,Radical prostatectomy,Major resection,Robotic,Lithotomy,25
Pancreatic cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,25
Ileostomy status,Ileostomy repair,Colorectal,Open,Supine,25
"Colon cancer, ascending",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,25
Gallbladder stone with cholecystitis without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,22
Prostate cancer ,Radical prostatectomy,Major resection,Robotic,Lithotomy,21
"Kidney donor, live related",Donor nephrectomy,Transplantation,Videoscopic,Right lateral decubitus,21
"Abnormal chest CT, lung nodule",Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,21
Rectal cancer ,Low anterior resection,Colorectal,Open,Lithotomy,21
Hepatocellular carcinoma,Hemihepatectomy,Hepatic,Open,Supine,21
Kidney donor,Donor nephrectomy,Transplantation,Videoscopic,Right lateral decubitus,21
Gallbladder stone with obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,20
Rectal cancer,Low anterior resection,Colorectal,Videoscopic,Lithotomy,20
Thyroid nodule ,Total thyroidectomy,Thyroid,Open,Supine,20
Early gastric cancer,Total gastrectomy,Stomach,Videoscopic,Supine,20
Advanced gastric cancer ,Distal gastrectomy,Stomach,Videoscopic,Supine,19
Papillary thyroid carcinoma,Total thyroidectomy,Thyroid,Robotic,Supine,18
"Abnormal chest CT, lung nodule",Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,18
Advanced gastric cancer,Diagnostic laparoscopy,Others,Videoscopic,Supine,17
Ovarian cyst,Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,17
Solitary pulmonary nodule,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,17
Ductal carcinoma in situ of breast unspecified side,Breast-conserving surgery,Breast,Open,Supine,17
"Colon cancer, rectosigmoid",Anterior resection,Colorectal,Open,Lithotomy,17
Rectal cancer ,Ileostomy repair,Colorectal,Open,Supine,16
Anal fistula,Fistulectomy,Colorectal,Open,Prone,16
Solitary pulmonary nodule,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,16
Early gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Reverse Trendelenburg,16
"Abnormal chest CT, lung",Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,16
Kidney donor ,Donor nephrectomy,Transplantation,Videoscopic,Right lateral decubitus,15
Acute appendicitis,Appendectomy,Colorectal,Open,Supine,15
Advanced gastric cancer,Subtotal gastrectomy,Stomach,Open,Supine,15
Ductal carcinoma in situ of breast left,Breast-conserving surgery,Breast,Open,Supine,15
"Abnormal chest CT, lung",Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,15
Advanced gastric cancer ,Subtotal gastrectomy,Stomach,Open,Supine,14
Early gastric cancer ,Pylorus preserving gastrectomy,Stomach,Videoscopic,Supine,14
Acute appendicitis,Appendectomy,Colorectal,Videoscopic,Supine,14
"Colon cancer, sigmoid",Anterior resection,Colorectal,Open,Supine,14
Ductal carcinoma in situ of breast right,Breast-conserving surgery,Breast,Open,Supine,14
"Colon cancer, rectosigmoid",Low anterior resection,Colorectal,Videoscopic,Lithotomy,13
"Colon cancer, rectosigmoid",Low anterior resection,Colorectal,Open,Lithotomy,13
Chronic kidney disease,Kidney transplantation,Transplantation,Open,Supine,13
Incisional hernia ,Incisional hernia repair,Colorectal,Open,Supine,13
Gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,13
Solitary pulmonary nodule ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,13
"Colon cancer, rectosigmoid",Anterior resection,Colorectal,Videoscopic,Lithotomy,13
"Colon cancer, sigmoid",Low anterior resection,Colorectal,Open,Lithotomy,12
Rectal cancer,Low anterior resection,Colorectal,Open,Supine,12
Hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Open,Lithotomy,12
Bladder disease ,Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,12
Varicose vein of lower limb,Ligation and stripping,Vascular,Open,Prone,12
Pneumothorax,Bullectomy,Minor resection,Videoscopic,Right lateral decubitus,12
Pancreatic cancer,Partial pancreatectomy,Biliary/Pancreas,Open,Supine,12
Ovarian cyst,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,12
Hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Open,Supine,11
"Colon cancer, sigmoid",Anterior resection,Colorectal,Videoscopic,Supine,11
Colon cancer,Hemicolectomy,Colorectal,Open,Supine,11
Inguinal hernia,Hernia repair,Colorectal,Open,Supine,11
Gallbladder cancer,Extended cholecystectomy,Biliary/Pancreas,Open,Supine,11
End stage renal disease,Arteriovenous fistula,Vascular,Open,Supine,11
"Gastric submucosal tumor, benign",Gastric wedge resection,Stomach,Videoscopic,Supine,10
Pneumothorax,Bullectomy,Minor resection,Videoscopic,Left lateral decubitus,10
Advanced gastric cancer ,Total gastrectomy,Stomach,Open,Supine,10
"Abnormal chest CT, lung",Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,10
Unspecified gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Supine,10
Hepatocellular carcinoma,Liver segmentectomy,Hepatic,Open,Supine,10
Hepatocellular carcinoma ,Liver transplantation,Transplantation,Open,Supine,10
Solitary pulmonary nodule ,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,10
"Colon cancer, hepatic flexure",Hemicolectomy,Colorectal,Open,Supine,10
Breast cancer left,Simple mastectomy,Breast,Open,Supine,10
Hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,10
Myoma uteri,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,9
Colon cancer,Anterior resection,Colorectal,Open,Lithotomy,9
Hepatocellular carcinoma,Hemihepatectomy,Hepatic,Videoscopic,Supine,9
"Cholangiocarcinoma, intrahepatic",Hemihepatectomy,Hepatic,Open,Supine,9
Right inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,9
Advanced gastric cancer,Total gastrectomy,Stomach,Videoscopic,Supine,9
Adenomyomatosis of gallbladder,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,9
Cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,9
Infiltrating ductal carcinoma of breast right,Simple mastectomy,Breast,Open,Supine,9
"Cholangiocarcinoma, intrahepatic",Extended hemihepatectomy,Hepatic,Open,Supine,9
Rectal cancer ,Low anterior resection,Colorectal,Videoscopic,Lithotomy,9
Gallbladder polyp,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,9
Liver cirrhosis Unspecified,Liver transplantation,Transplantation,Open,Supine,8
Hepatocellular carcinoma,Hemihepatectomy,Hepatic,Videoscopic,Lithotomy,8
"Colon cancer, transverse",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,8
Advanced gastric cancer,Partial gastrectomy,Stomach,Open,Supine,8
"Colon cancer, hepatic flexure",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,8
Gallbladder stone with cholecystitis with obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,8
Hepatocellular carcinoma,Liver segmentectomy,Hepatic,Videoscopic,Lithotomy,8
Living liver donor,Donor hepatectomy,Transplantation,Open,Supine,8
Infiltrating ductal carcinoma of breast left,Simple mastectomy,Breast,Open,Supine,8
Lung cancer right,Lung lobectomy,Major resection,Open,Left lateral decubitus,8
Breast cancer right,Total mastectomy,Breast,Open,Supine,8
Early gastric cancer ,Distal gastrectomy,Stomach,Robotic,Supine,8
Hepatocellular carcinoma,Liver sectionectomy,Hepatic,Videoscopic,Lithotomy,8
Esophageal cancer,Esophagectomy,Others,Robotic,Left lateral decubitus,7
Breast cancer left,Total mastectomy,Breast,Open,Supine,7
Empyema with bronchopleural fistula,Debridement of wound,Others,Videoscopic,Right lateral decubitus,7
Empyema with bronchopleural fistula ,Debridement of wound,Others,Open,Supine,7
Infiltrating ductal carcinoma of breast right,Total mastectomy,Breast,Open,Supine,7
Early gastric cancer ,Distal gastrectomy,Stomach,Videoscopic,Lithotomy,7
Hepatocellular carcinoma,Liver sectionectomy,Hepatic,Open,Supine,7
Breast cancer right,Simple mastectomy,Breast,Open,Supine,7
Lung cancer left,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,7
"Colon cancer, transverse",Extended hemicolectomy,Colorectal,Open,Supine,7
"Colon cancer, sigmoid",Exploratory laparotomy,Others,Open,Lithotomy,7
End stage renal disease ,Kidney transplantation,Transplantation,Open,Supine,7
Adhesive ileus,Exploratory laparotomy,Others,Open,Supine,7
Thymoma,Thymectomy,Others,Robotic,Supine,7
"Abnormal chest CT, lung nodule",Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,7
Gallbladder cancer,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,7
"Aneurysm, abdominal aorta",Aortoiliac bypass,Vascular,Open,Supine,7
"Common bile duct cancer, distal",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,7
Symptomatic gallbladder stone with obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,7
Gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,7
Common bile duct cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,7
"Atherosclerosis obliterans, limb",Endarterectomy,Vascular,Open,Supine,7
Mediastinal mass,Excision,Others,Videoscopic,Left lateral decubitus,7
Alcoholic liver cirrhosis with ascites,Liver transplantation,Transplantation,Open,Supine,7
Myoma uteri,Myomectomy,Minor resection,Videoscopic,Lithotomy,7
"Abnormal chest CT, lung nodule",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,6
"Aneurysm, abdominal aorta",Aneurysmal repair,Vascular,Open,Supine,6
Ground-glass opacity,Lung wedge resection,Minor resection,Videoscopic,Right lateral decubitus,6
Idiopathic thrombocytopenic purpura,Splenectomy,Biliary/Pancreas,Videoscopic,Supine,6
Asymptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,6
Lung cancer left,Lung lobectomy,Major resection,Open,Right lateral decubitus,6
Gastrointestinal stromal tumor,Gastric wedge resection,Stomach,Videoscopic,Supine,6
"Intraductal papillary mucinous neoplasm of pancreas, borderline",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,6
Bilateral inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Open,Supine,6
Infiltrating ductal carcinoma of breast unspecified side,Breast-conserving surgery,Breast,Open,Supine,6
Lung cancer unspecified side,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,6
Symptomatic gallbladder stone without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,6
Hepatocellular carcinoma,Liver segmentectomy,Hepatic,Open,Lithotomy,6
Ground-glass opacity,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,6
Antenatal care for high risk pregnancy,Cesarean section,Others,Open,Supine,6
Anal fistula ,Fistulectomy,Colorectal,Open,Prone,6
"Colon cancer, sigmoid",Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,6
Pancreatic cancer,Pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,6
Early gastric cancer,Distal gastrectomy,Stomach,Videoscopic,Lithotomy,6
Metastatic cancer to the lung left,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,6
Metastatic cancer to the lung right,Metastasectomy,Minor resection,Videoscopic,Left lateral decubitus,6
Colon cancer,Anterior resection,Colorectal,Videoscopic,Lithotomy,6
Lung cancer right,Lung bilobectomy,Major resection,Videoscopic,Left lateral decubitus,6
End stage renal disease,Bleeding control,Others,Open,Supine,6
"Kidney donor, live related",Donor nephrectomy,Transplantation,Videoscopic,Supine,6
"Colon cancer, rectosigmoid",Ileostomy repair,Colorectal,Open,Supine,6
Gallbladder stone,Cholecystectomy,Biliary/Pancreas,Videoscopic,Reverse Trendelenburg,5
Disorder of kidney and ureter,Nephrectomy,Major resection,Robotic,Right lateral decubitus,5
Hepatocellular carcinoma ,Hemihepatectomy,Hepatic,Videoscopic,Lithotomy,5
Open wound of chest wall ,Debridement of wound,Others,Open,Supine,5
Colon cancer,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,5
"Abnormal chest CT, lung nodule",Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,5
Myoma uteri,Hysterectomy,Major resection,Videoscopic,Lithotomy,5
"Chronic kidney disease, stage 5",Kidney transplantation,Transplantation,Open,Supine,5
Hyperparathyroidism,Parathyroidectomy,Thyroid,Open,Supine,5
"Papillary transitional cell carcinoma, non-invasive",Transurethral resection of bladder tumor,Minor resection,Videoscopic,Lithotomy,5
Inguinal hernia not specified as recurrent,Hernia repair,Colorectal,Videoscopic,Supine,5
End stage renal disease ,Arteriovenous fistula,Vascular,Open,Supine,5
Stomach cancer unspecified,Distal gastrectomy,Stomach,Videoscopic,Supine,5
Endometrial cancer unknown stage,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,5
"Abnormal chest CT, lung nodule",Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,5
"Colon cancer, sigmoid",Low anterior resection,Colorectal,Videoscopic,Lithotomy,5
Rectal cancer,Transanal excision,Colorectal,Open,Prone,5
Metastatic cancer to the liver,Hemihepatectomy,Hepatic,Open,Supine,5
Early gastric cancer ,Proximal gastrectomy,Stomach,Videoscopic,Supine,5
Thymoma ,Thymectomy,Others,Open,Supine,5
"Colon cancer, sigmoid",Anterior resection,Colorectal,Open,Trendelenburg,5
Gastric subepithelial mass,Gastric wedge resection,Stomach,Videoscopic,Supine,5
Gallbladder cancer ,Extended cholecystectomy,Biliary/Pancreas,Open,Supine,5
Advanced gastric cancer,Exploratory laparotomy,Others,Open,Supine,5
"Colon cancer, ascending",Hemicolectomy,Colorectal,Videoscopic,Supine,5
Early gastric cancer ,Total gastrectomy,Stomach,Videoscopic,Supine,5
Ductal carcinoma in situ of breast right,Wide excision,Others,Open,Supine,5
Gallbladder disease,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,5
Rectal cancer,Ultralow anterior resection,Colorectal,Open,Lithotomy,5
Pancreatic cancer ,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,5
Hemorrhoids,Hemorrhoidectomy,Colorectal,Open,Prone,5
Pancreatic disease,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,5
"Colon cancer, hepatic flexure",Extended hemicolectomy,Colorectal,Open,Supine,5
"Neuroendocrine tumor of pancreas, G1",Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,5
Rectal cancer,Abdominoperineal resection,Colorectal,Open,Supine,5
Lung cancer right,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,5
Solitary pulmonary nodule,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,5
Klatskin tumor,Extended hemihepatectomy,Hepatic,Open,Supine,5
Inguinal hernia recurrent,Hernia repair,Colorectal,Open,Supine,5
Metastatic cancer to the lung right,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,5
Breast cancer unspecified side,Simple mastectomy,Breast,Open,Supine,5
Fibroadenoma of breast left,Excision,Breast,Open,Supine,5
Lung cancer unspecified side,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,5
Papillary thyroid carcinoma,Thyroid lobectomy,Thyroid,Robotic,Supine,5
Lung cancer right,Lung sgmentectomy,Minor resection,Videoscopic,Left lateral decubitus,5
"Abnormal chest CT, lung",Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,5
Idiopathic pulmonary fibrosis,Lung transplantation,Transplantation,Open,Supine,5
Early gastric cancer,Distal gastrectomy,Stomach,Robotic,Supine,5
Pancreatic disease,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,5
"Solid pseudopapillary tumor of pancreas, malignant",Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,5
End stage kidney disease on dialysis,Kidney transplantation,Transplantation,Open,Supine,5
Chronic cholecystitis,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,5
Malignant neoplasm of breast left,Breast-conserving surgery,Breast,Open,Supine,4
Common bile duct cancer ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,4
Gastrointestinal stromal tumor of stomach,Gastric wedge resection,Stomach,Videoscopic,Supine,4
Rectal cancer ,Abdominoperineal resection,Colorectal,Open,Lithotomy,4
Neurogenic tumor ,Excision,Others,Open,Right lateral decubitus,4
Acute cholecystitis ,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,4
Prostate cancer ,Radical prostatectomy,Major resection,Robotic,Trendelenburg,4
Ductal carcinoma in situ of breast left,Simple mastectomy,Breast,Open,Supine,4
Duodenal perforation,Exploratory laparotomy,Others,Open,Supine,4
"Colon cancer, sigmoid",Hartmann procedure,Colorectal,Open,Lithotomy,4
"Abnormal chest CT, lung nodule",Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,4
Hepatocellular carcinoma,Liver segmentectomy,Hepatic,Videoscopic,Supine,4
Pancreatic cancer,Distal pancreatectomy,Biliary/Pancreas,Open,Supine,4
Gallbladder stonewithout obstruction,Cholecystectomy,Biliary/Pancreas,Robotic,Supine,4
Colon cancer,Anterior resection,Colorectal,Videoscopic,Supine,4
"Gastrointestinal stromal tumor of stomach, benign",Gastric wedge resection,Stomach,Videoscopic,Supine,4
Pancreatic cancer ,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,4
Thyroid nodule,Completion thyroidectomy,Thyroid,Open,Supine,4
Ampulla of vater cancer,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,4
Hepatocellular carcinoma,Exploratory laparotomy,Others,Open,Supine,4
Panperitonitis,Exploratory laparotomy,Others,Open,Supine,4
End stage renal disease,Removal of continuous ambulatory peritoneal dialysis catheter,Vascular,Open,Supine,4
Mediastinal mass,Thymectomy,Others,Open,Supine,4
Varicose vein with nonspecific symptom,Ligation and stripping,Vascular,Open,Supine,4
Rectal cancer ,Transanal excision,Colorectal,Open,Prone,4
Rectal cancer,Colostomy,Colorectal,Open,Supine,4
Hemorrhoids ,Hemorrhoidectomy,Colorectal,Open,Prone,4
Esophageal cancer ,Esophagectomy,Others,Robotic,Left lateral decubitus,4
Interstitial lung disease,Biopsy,Minor resection,Videoscopic,Right lateral decubitus,4
Rectal cancer,Anterior resection,Colorectal,Videoscopic,Lithotomy,4
Abdominal hernia,Hernia repair,Colorectal,Open,Supine,4
Umbilical hernia,Hernia repair,Colorectal,Open,Supine,4
Rectal cancer,Anterior resection,Colorectal,Open,Lithotomy,4
Cecal cancer,Hemicolectomy,Colorectal,Videoscopic,Lithotomy,4
Rectal cancer ,Ultralow anterior resection,Colorectal,Open,Lithotomy,4
Left inguinal hernia,Hernia repair,Colorectal,Open,Supine,4
Klatskin tumor,Hemihepatectomy,Hepatic,Open,Supine,4
Gallbladder stonewith obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,4
Kidney donor ,Donor nephrectomy,Transplantation,Videoscopic,Supine,4
Malignant neoplasm of ampulla of vater,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,4
Ileostomy status ,Ileostomy repair,Colorectal,Open,Supine,4
Rectal cancer ,Exploratory laparotomy,Others,Open,Lithotomy,4
Abnormal finding on lung imaging ,Lung wedge resection,Minor resection,Videoscopic,Left lateral decubitus,4
"Abnormal chest CT, lung",Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,4
Cervical cancer unknown stage,Radical hysterectomy,Major resection,Videoscopic,Lithotomy,4
hepatocellular carcinoma ,Liver segmentectomy,Hepatic,Open,Supine,4
Colorectal cancer,Low anterior resection,Colorectal,Open,Lithotomy,4
Rectal cancer ,Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,4
Prostate cancer ,Radical prostatectomy,Major resection,Robotic,Supine,4
Hepatocellular carcinoma,Extended hemihepatectomy,Hepatic,Open,Supine,4
Interstitial lung disease ,Biopsy,Minor resection,Videoscopic,Left lateral decubitus,4
Colorectal cancer,Ileostomy repair,Colorectal,Open,Supine,4
Pelvic mass,Salpingo-oophorectomy,Minor resection,Videoscopic,Lithotomy,4
Appendix mucocele,Appendectomy,Colorectal,Videoscopic,Supine,4
Adenocarcinoma of lung left,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,3
Advanced gastric cancer ,Total gastrectomy,Stomach,Videoscopic,Supine,3
Adrenal gland disease,Adrenalectomy,Others,Videoscopic,Right lateral decubitus,3
Epithelial ovarian cancer unknown stage unspecified side,Extended hysterectomy,Major resection,Open,Supine,3
Thyroid nodule ,Thyroid lobectomy,Thyroid,Videoscopic,Supine,3
Acute appendicitis ,Appendectomy,Colorectal,Videoscopic,Supine,3
Infiltrating ductal carcinoma of breast left,Total mastectomy,Breast,Open,Supine,3
Rectal polyp,Transanal excision,Colorectal,Open,Prone,3
Rectal cancer,Abdominoperineal resection,Colorectal,Open,Lithotomy,3
"Colon cancer, transverse",Hemicolectomy,Colorectal,Open,Supine,3
Thyroid nodule,Bleeding control,Others,Open,Supine,3
Acute appendicitis with perforation,Appendectomy,Colorectal,Open,Supine,3
Early gastric cancer,Remnant total gastrectomy,Stomach,Open,Supine,3
Abnormal finding on lung imaging ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Lung cancer left,Pneumonectomy,Major resection,Open,Right lateral decubitus,3
Mediastinal mass,Thymectomy,Others,Videoscopic,Right lateral decubitus,3
Rectal cancer,Incisional hernia repair,Colorectal,Open,Supine,3
Mucinous carcinoma of breast right,Breast-conserving surgery,Breast,Open,Supine,3
Right inguinal hernia recurrent,Hernia repair,Colorectal,Open,Supine,3
"Colon cancer, sigmoid",Liver segmentectomy,Hepatic,Open,Supine,3
Rectal cancer,Anterior resection,Colorectal,Open,Supine,3
Hyperhidrosis ,Thoracic sympathectomy,Others,Videoscopic,Supine,3
Hepatocellular carcinoma ,Liver sectionectomy,Hepatic,Videoscopic,Supine,3
Hepatocellular carcinoma,Bleeding control,Others,Open,Supine,3
Malignant neoplasm of pancreas,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Splenic disease,Splenectomy,Biliary/Pancreas,Videoscopic,Supine,3
Gallbladder stone with acute cholecystitis without obstruction,Cholecystectomy,Biliary/Pancreas,Videoscopic,Supine,3
Lung cancer right,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,3
papillary thyroid carcinoma ,Modified radical neck dissection,Others,Open,Supine,3
Bilateral inguinal hernia,Hernia repair,Colorectal,Open,Supine,3
Hepatocellular carcinoma ,Hemihepatectomy,Hepatic,Videoscopic,Supine,3
Adenocarcinoma of lung right,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Myoma uteri,Hysterectomy,Major resection,Videoscopic,Supine,3
Neuroendocrine carcinoma of pancreas,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Papillary thyroid carcinoma,Modified radical neck dissection,Others,Open,Supine,3
Thymoma ,Thymectomy,Others,Robotic,Supine,3
Epithelial ovarian cancer unknown stage unspecified side,Exploratory laparotomy,Major resection,Open,Lithotomy,3
Abdominal mass,Excision,Colorectal,Open,Supine,3
Lung cancer left,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Pancreatic cancer ,Distal pancreatectomy,Biliary/Pancreas,Videoscopic,Supine,3
Bronchiectasis,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Colon perforation,Exploratory laparotomy,Others,Open,Lithotomy,3
Advanced gastric cancer,Remnant total gastrectomy,Stomach,Open,Supine,3
Non-small cell lung cancer left,Lung lobectomy,Major resection,Videoscopic,Right lateral decubitus,3
Papillary thyroid carcinoma ,Total thyroidectomy,Thyroid,Robotic,Supine,3
Mediastinal mass ,Thymectomy,Others,Open,Supine,3
Hepatocellular carcinoma ,Liver sectionectomy,Hepatic,Open,Supine,3
"Abnormal chest CT, lung nodule",Metastasectomy,Minor resection,Videoscopic,Right lateral decubitus,3
Bronchiectasis ,Lung sgmentectomy,Minor resection,Videoscopic,Right lateral decubitus,3
Rectal cancer ,Anterior resection,Colorectal,Open,Lithotomy,3
"Colon cancer, sigmoid",Hemicolectomy,Colorectal,Videoscopic,Lithotomy,3
Parastomal hernia,Hernia repair,Colorectal,Open,Supine,3
Nontuberculous mycobacterial infection,Debridement of wound,Others,Videoscopic,Right lateral decubitus,3
Ovarian cyst ,Ovarian cystectomy,Major resection,Videoscopic,Lithotomy,3
Ground-glass opacity ,Lung lobectomy,Major resection,Videoscopic,Left lateral decubitus,3
Early gastric cancer ,Total gastrectomy,Stomach,Robotic,Supine,3
Choledochal cyst,Exploratory laparotomy,Others,Open,Supine,3
Ampulla of vater adenoma,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Open,Supine,3
Pancreatic disease,Pylorus preserving pancreaticoduodenectomy,Biliary/Pancreas,Robotic,Supine,3
