opname,avg_duration_min,duration_bucket,n_samples
Excision,142.5,1-3hr,228
Exploration,199.4,2-4hr,5
Exploration of common bile duct,339.0,3-6hr,1
Exploration of wound,174.3,1-3hr,6
Exploratory laparotomy,195.7,2-4hr,215
Exploratory thoracotomy,269.0,2-5hr,1
Extended cholecystectomy,265.6,2-5hr,17
Extended hemicolectomy,165.8,1-3hr,23
Extended hemihepatectomy,322.3,3-6hr,26
Extended hysterectomy,186.6,2-4hr,10
Extended total gastrectomy,335.0,3-6hr,1
Feeding jejunostomy,130.0,1-3hr,2
Femoro-femoral bypass,228.0,2-4hr,1
Femoro-popliteal bypass,460.7,>6hr,3
Fistulectomy,89.2,<2hr,28
Fundoplication,204.7,2-4hr,3
Gastric bypass,285.0,2-5hr,1
Gastric wedge resection,151.8,1-3hr,42
Gastrojejunostomy,184.1,2-4hr,11
Gastrostomy,99.0,<2hr,1
Hartmann procedure,210.6,2-4hr,28
Hemicolectomy,194.7,2-4hr,193
Hemihepatectomy,316.8,3-6hr,88
Hemorrhoidectomy,77.9,<2hr,13
Hepatic hilar resection,286.8,2-5hr,8
Hepaticojejunostomy,301.0,3-6hr,2
Hepatopancreaticoduodenectomy,330.0,3-6hr,1
Hernia repair,91.8,<2hr,163
Hysterectomy,173.5,1-3hr,24
Ileocecectomy,165.4,1-3hr,11
Ileocolectomy,165.0,1-3hr,1
Ileostomy,151.6,1-3hr,16
Ileostomy repair,114.9,<2hr,109
Ilioiliac bypass,319.0,3-6hr,1
Incision and drainage,95.8,<2hr,22
Incision of rectal stricture,80.0,<2hr,1
Incisional hernia repair,113.6,<2hr,66
Inguinal hernia,121.0,1-3hr,1
Inguinal lymph node dissection,144.6,1-3hr,7
Insertion of continuous ambulatory peritoneal dialysis catheter,214.0,2-4hr,1
Insertion of permanent catheter,181.0,2-4hr,1
Internal mammary lymph node dissection,96.0,<2hr,1
Intra-abdominal arterial bypass graft,155.0,1-3hr,1
Ivor Lewis operation,537.2,>6hr,4
Kidney transplantation,323.4,3-6hr,127
Ligation and stripping,152.1,1-3hr,120
Liver bisegmentectomy,328.0,3-6hr,1
Liver sectionectomy,251.4,2-5hr,40
Liver segmentectomy,278.3,2-5hr,95
Liver transplantation,455.0,>6hr,107
Liver tumorectomy,261.5,2-5hr,2
Low anterior resection,201.6,2-4hr,181
Lung bilobectomy,279.4,2-5hr,14
Lung lobectomy,231.5,2-4hr,332
Lung segmentectomy,208.5,2-4hr,2
Lung sgmentectomy,210.3,2-4hr,61
Lung transplantation,663.9,>6hr,7
Lung wedge resection,195.5,2-4hr,236
Macroplastique injection,74.0,<2hr,1
Marsupialization,170.0,1-3hr,1
Mastectomy,311.8,3-6hr,6
McDonald operation,90.0,<2hr,4
Median pancreatectomy,216.5,2-4hr,2
Mediastinal lymph node dissection,175.0,1-3hr,10
Metastasectomy,167.8,1-3hr,102
Modified Shirodkar operation,96.0,<2hr,2
Modified radical hysterectomy,264.0,2-5hr,1
Modified radical neck dissection,172.2,1-3hr,9
Myomectomy,189.4,2-4hr,12
Nephrectomy,232.5,2-4hr,18
Nephroureterectomy,140.0,1-3hr,1
Oophorectomy,141.0,1-3hr,2
Orchiectomy,121.0,1-3hr,2
Ovarian cancer staging operation,235.0,2-4hr,1
Ovarian cystectomy,131.9,1-3hr,25
Pancreas transplantation,365.0,>6hr,1
Pancreatic cystojejunostomy,80.0,<2hr,1
Pancreaticoduodenectomy,412.9,>6hr,19
Pancreaticojejunostomy,330.0,3-6hr,1
Pancreatosplenectomy,271.0,2-5hr,2
Paraaortic lymph node dissection,228.2,2-4hr,6
Parathyroidectomy,143.1,1-3hr,14
Partial cystectomy,181.0,2-4hr,1
Partial gastrectomy,252.9,2-5hr,12
Partial pancreatectomy,249.9,2-5hr,19
Pelvic tumorectomy,295.6,2-5hr,11
Percutaneous biopsy,75.0,<2hr,1
Pericardial window operation,132.3,1-3hr,3
Peritoneal mass excision,168.1,1-3hr,7
Pleurectomy,250.0,2-5hr,1
Pleurodesis,109.0,<2hr,1
Pleuroscopy,120.0,1-3hr,1
Plication,208.0,2-4hr,2
Pneumonectomy,304.3,3-6hr,10
Proximal gastrectomy,346.1,3-6hr,10
Pyeloplasty,228.5,2-4hr,2
Pylorus preserving gastrectomy,281.9,2-5hr,68
Pylorus preserving pancreaticoduodenectomy,383.7,>6hr,123
Radical cholecystectomy,310.0,3-6hr,2
Radical cystectomy,493.5,>6hr,6
Radical excision of cervical lymph nodes,132.5,1-3hr,2
Radical excision of iliac lymph nodes,196.2,2-4hr,4
Radical hysterectomy,164.9,1-3hr,40
Radical mastectomy,132.0,1-3hr,1
Radical parametrectomy,350.0,3-6hr,1
Radical prostatectomy,243.7,2-5hr,58
Radical trachelectomy,289.5,2-5hr,2
Rectal prolapse operation,138.2,1-3hr,4
Regional lymph node dissection,170.3,1-3hr,3
Remnant total gastrectomy,246.9,2-5hr,12
Removal of Hickman catheter,66.0,<2hr,1
Removal of complicated graft,149.0,1-3hr,1
Removal of continuous ambulatory peritoneal dialysis catheter,101.7,<2hr,9
Removal of foreign body,107.5,<2hr,2
Removal of permanent catheter,67.5,<2hr,4
Removal of staples,70.0,<2hr,1
Reposition of continuous ambulatory peritoneal dialysis catheter,87.0,<2hr,1
Resection of chest wall with reconstruction,174.4,1-3hr,5
Resection of inferior vena cava,533.5,>6hr,2
Resection of intestine,85.0,<2hr,1
Resection of lower limb artery,275.0,2-5hr,1
Resection of popliteal artery,265.0,2-5hr,2
Resection of rib,219.0,2-4hr,1
Resection of sternum,205.0,2-4hr,1
Revision of arteriovenous fistula,192.5,2-4hr,4
Revision of small intestine anastomosis,206.0,2-4hr,1
Rigid bronchoscopic excision,92.0,<2hr,1
Rigid bronchoscopy,92.0,<2hr,1
Rrectocele repair,113.5,<2hr,2
Salpingectomy,143.3,1-3hr,3
Salpingo-oophorectomy,129.9,1-3hr,28
Segmental resection of bile duct,372.2,>6hr,6
Segmental resection of colon,235.3,2-4hr,3
Selective neck dissection,140.5,1-3hr,2
Sentinel lymph node mapping,270.0,2-5hr,1
Simple mastectomy,140.1,1-3hr,66
Simultaneous pancreas-kidney transplantation,508.0,>6hr,2
Sleeve lobectomy,303.4,3-6hr,7
Small bowel segmental resection,160.4,1-3hr,20
Sphincteroplasty,50.0,<1hr,2
Sphincterotomy,75.0,<2hr,1
Spleen preserving distal pancreatectomy,179.4,1-3hr,13
Splenectomy,126.2,1-3hr,18
Staging laparotomy,266.6,2-5hr,5
Staging operation,250.0,2-5hr,1
Sternal fixation,141.0,1-3hr,1
Subtotal colectomy,188.8,2-4hr,4
Subtotal gastrectomy,251.4,2-5hr,40
Subtotal pancreatectomy,157.5,1-3hr,2
Subtotal parathyroidectomy,160.8,1-3hr,6
Thoracic sympathectomy,100.2,<2hr,9
Thoracoplasty,501.0,>6hr,1
Thymectomy,246.5,2-5hr,44
Thyroglossal duct cyst excision,250.0,2-5hr,1
Thyroid isthmectomy,216.0,2-4hr,1
Thyroid lobectomy,156.8,1-3hr,115
Thyroidectomy,190.0,2-4hr,1
Total colectomy,234.9,2-4hr,10
Total esophagectomy,762.0,>6hr,1
Total gastrectomy,299.5,2-5hr,97
Total hysterectomy,197.5,2-4hr,10
Total mastectomy,117.9,<2hr,32
Total pancreatectomy,304.0,3-6hr,2
Total proctocolectomy,305.6,3-6hr,5
Total thyroidectomy,183.3,2-4hr,114
Transanal endoscopic microsurgery,142.7,1-3hr,13
Transanal excision,88.8,<2hr,36
Transduodenal ampullectomy,185.0,2-4hr,1
Transplantation of gracilis muscle,104.0,<2hr,2
Transposition of basilic vein for arteriovenous fistula,291.0,2-5hr,1
Transurethral resection of bladder tumor,70.6,<2hr,32
Transverse colectomy,167.7,1-3hr,3
Transverse loop colostomy,81.3,<2hr,3
Ultralow anterior resection,250.1,2-5hr,17
Varicocelectomy,192.0,2-4hr,1
Vascular bypass,241.5,2-5hr,2
Vascular repair,215.0,2-4hr,2
Vessel graft,282.0,2-5hr,1
Wide excision,115.6,<2hr,30
Wound revision,99.4,<2hr,5
anterior resection,125.0,1-3hr,1
subtotal colectomy,237.8,2-4hr,12
