"dx","opname","optype","approach","position","count","ml_base_category","ml_confidence_pct","Level1_magnitude","Level2_domain","Level3_approach","Level4_subtype","Level5_modifiers","Level6_secondary_variables"
"Pancreatic cancer","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","4","Biliary/Pancreas","84.4","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Thyroid nodule","Completion thyroidectomy","Thyroid","Open","Supine","4","Thyroid","80.0","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Revision | Supine","Est.Duration:1-3hr"
"Ampulla of vater cancer","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","4","Biliary/Pancreas","81.1","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Hepatocellular carcinoma","Exploratory laparotomy","Others","Open","Supine","4","Others","72.3","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Panperitonitis","Exploratory laparotomy","Others","Open","Supine","4","Others","78.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"End stage renal disease","Removal of continuous ambulatory peritoneal dialysis catheter","Vascular","Open","Supine","4","Vascular","63.8","Minor","Vascular","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Mediastinal mass","Thymectomy","Others","Open","Supine","4","Others","67.3","Major","Soft Tissue / Access / Misc","Open","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Varicose vein with nonspecific symptom","Ligation and stripping","Vascular","Open","Supine","4","Vascular","66.8","Minor","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Rectal cancer","Transanal excision","Colorectal","Open","Prone","4","Colorectal","77.3","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Prone","Est.Duration:<2hr"
"Rectal cancer","Colostomy","Colorectal","Open","Supine","4","Colorectal","57.1","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Hemorrhoids","Hemorrhoidectomy","Colorectal","Open","Prone","4","Colorectal","77.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Esophageal cancer","Esophagectomy","Others","Robotic","Left lateral decubitus","4","Others","69.8","Major","Soft Tissue / Access / Misc","Robotic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:>6hr"
"Interstitial lung disease","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","4","BiopsyBrain","64.1","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Rectal cancer","Anterior resection","Colorectal","Videoscopic","Lithotomy","4","Colorectal","60.2","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Abdominal hernia","Hernia repair","Colorectal","Open","Supine","4","Colorectal","70.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Umbilical hernia","Hernia repair","Colorectal","Open","Supine","4","Colorectal","70.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Rectal cancer","Anterior resection","Colorectal","Open","Lithotomy","4","Colorectal","60.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Cecal cancer","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","4","Colorectal","74.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Rectal cancer","Ultralow anterior resection","Colorectal","Open","Lithotomy","4","Colorectal","66.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Left inguinal hernia","Hernia repair","Colorectal","Open","Supine","4","Colorectal","55.2","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Klatskin tumor","Hemihepatectomy","Hepatic","Open","Supine","4","Hepatic","74.0","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Gallbladder stonewith obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","4","Biliary/Pancreas","63.9","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Kidney donor","Donor nephrectomy","Transplantation","Videoscopic","Supine","4","Transplantation","72.6","Major","Urology","Laparoscopic","Transplant / Major Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Malignant neoplasm of ampulla of vater","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","4","Biliary/Pancreas","75.0","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Ileostomy status","Ileostomy repair","Colorectal","Open","Supine","4","Colorectal","57.7","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Rectal cancer","Exploratory laparotomy","Others","Open","Lithotomy","4","Others","79.8","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Abnormal finding on lung imaging","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","4","Minor resection","67.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Abnormal chest CT, lung","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","4","Major resection","67.7","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Cervical cancer unknown stage","Radical hysterectomy","Major resection","Videoscopic","Lithotomy","4","Major resection","68.8","Major","Abdominal / GI","Laparoscopic","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"hepatocellular carcinoma","Liver segmentectomy","Hepatic","Open","Supine","4","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Colorectal cancer","Low anterior resection","Colorectal","Open","Lithotomy","4","Colorectal","62.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Rectal cancer","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","4","Minor resection","74.0","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Prostate cancer","Radical prostatectomy","Major resection","Robotic","Supine","4","Major resection","77.5","Major","Urology","Robotic","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Extended hemihepatectomy","Hepatic","Open","Supine","4","Hepatic","73.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Interstitial lung disease","Biopsy","Minor resection","Videoscopic","Left lateral decubitus","4","BiopsyBrain","64.1","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Colorectal cancer","Ileostomy repair","Colorectal","Open","Supine","4","Colorectal","72.5","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Pelvic mass","Salpingo-oophorectomy","Minor resection","Videoscopic","Lithotomy","4","Minor resection","81.1","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Appendix mucocele","Appendectomy","Colorectal","Videoscopic","Supine","4","Colorectal","68.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Adenocarcinoma of lung left","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","3","Major resection","65.3","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Advanced gastric cancer","Total gastrectomy","Stomach","Videoscopic","Supine","3","Stomach","69.6","Major","Abdominal / GI","Laparoscopic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Adrenal gland disease","Adrenalectomy","Others","Videoscopic","Right lateral decubitus","3","Others","67.3","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Epithelial ovarian cancer unknown stage unspecified side","Extended hysterectomy","Major resection","Open","Supine","3","Major resection","51.2","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Thyroid nodule","Thyroid lobectomy","Thyroid","Videoscopic","Supine","3","Thyroid","75.6","Major","ENT / Head & Neck","Laparoscopic","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Acute appendicitis","Appendectomy","Colorectal","Videoscopic","Supine","3","Colorectal","68.1","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Infiltrating ductal carcinoma of breast left","Total mastectomy","Breast","Open","Supine","3","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:<2hr"
"Rectal polyp","Transanal excision","Colorectal","Open","Prone","3","Colorectal","78.2","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Rectal cancer","Abdominoperineal resection","Colorectal","Open","Lithotomy","3","Colorectal","81.8","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:3-6hr"
"Colon cancer, transverse","Hemicolectomy","Colorectal","Open","Supine","3","Colorectal","66.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Thyroid nodule","Bleeding control","Others","Open","Supine","3","Others","74.8","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Acute appendicitis with perforation","Appendectomy","Colorectal","Open","Supine","3","Colorectal","61.0","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Early gastric cancer","Remnant total gastrectomy","Stomach","Open","Supine","3","Stomach","76.3","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Revision | Supine","Est.Duration:2-5hr"
"Abnormal finding on lung imaging","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","63.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Lung cancer left","Pneumonectomy","Major resection","Open","Right lateral decubitus","3","Major resection","70.5","Major","Thoracic","Open","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:3-6hr"
"Mediastinal mass","Thymectomy","Others","Videoscopic","Right lateral decubitus","3","Others","67.3","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-5hr"
"Rectal cancer","Incisional hernia repair","Colorectal","Open","Supine","3","Colorectal","71.9","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Revision | Supine","Est.Duration:<2hr"
"Mucinous carcinoma of breast right","Breast-conserving surgery","Breast","Open","Supine","3","Breast","56.9","Major","ENT / Head & Neck","Open","Breast Surgery","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Right inguinal hernia recurrent","Hernia repair","Colorectal","Open","Supine","3","Colorectal","63.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Colon cancer, sigmoid","Liver segmentectomy","Hepatic","Open","Supine","3","Hepatic","72.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Rectal cancer","Anterior resection","Colorectal","Open","Supine","3","Colorectal","60.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Hyperhidrosis","Thoracic sympathectomy","Others","Videoscopic","Supine","3","Others","79.8","Major","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Videoscopic","Supine","3","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Bleeding control","Others","Open","Supine","3","Others","68.3","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Malignant neoplasm of pancreas","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","77.9","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Splenic disease","Splenectomy","Biliary/Pancreas","Videoscopic","Supine","3","Biliary/Pancreas","69.2","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Gallbladder stone with acute cholecystitis without obstruction","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","3","Others","54.0","Major","Urology","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Lung cancer right","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","3","Major resection","70.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"papillary thyroid carcinoma","Modified radical neck dissection","Others","Open","Supine","3","Others","77.9","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Bilateral inguinal hernia","Hernia repair","Colorectal","Open","Supine","3","Colorectal","55.2","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Hepatocellular carcinoma","Hemihepatectomy","Hepatic","Videoscopic","Supine","3","Hepatic","67.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:3-6hr"
"Adenocarcinoma of lung right","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","64.9","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Myoma uteri","Hysterectomy","Major resection","Videoscopic","Supine","3","Major resection","74.0","Major","Abdominal / GI","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Neuroendocrine carcinoma of pancreas","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","75.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Papillary thyroid carcinoma","Modified radical neck dissection","Others","Open","Supine","3","Others","77.9","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Thymoma","Thymectomy","Others","Robotic","Supine","3","Others","76.9","Major","Soft Tissue / Access / Misc","Robotic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Epithelial ovarian cancer unknown stage unspecified side","Exploratory laparotomy","Major resection","Open","Lithotomy","3","Others","51.3","Major","Abdominal / GI","Open","Other Procedure","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Abdominal mass","Excision","Colorectal","Open","Supine","3","CraniTumorSkullBase","70.5","Minor","Neuro / Spine","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer left","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","71.5","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Pancreatic cancer","Distal pancreatectomy","Biliary/Pancreas","Videoscopic","Supine","3","Biliary/Pancreas","76.0","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Bronchiectasis","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","73.1","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon perforation","Exploratory laparotomy","Others","Open","Lithotomy","3","Others","76.6","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:2-4hr"
"Advanced gastric cancer","Remnant total gastrectomy","Stomach","Open","Supine","3","Stomach","74.5","Major","Abdominal / GI","Open","Gastric Resection","Malignancy | Revision | Supine","Est.Duration:2-5hr"
"Non-small cell lung cancer left","Lung lobectomy","Major resection","Videoscopic","Right lateral decubitus","3","Major resection","63.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Papillary thyroid carcinoma","Total thyroidectomy","Thyroid","Robotic","Supine","3","Thyroid","69.0","Major","ENT / Head & Neck","Robotic","Thyroid / Parathyroid","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Mediastinal mass","Thymectomy","Others","Open","Supine","3","Others","67.3","Major","Soft Tissue / Access / Misc","Open","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Open","Supine","3","Hepatic","70.5","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Abnormal chest CT, lung nodule","Metastasectomy","Minor resection","Videoscopic","Right lateral decubitus","3","Minor resection","64.5","Major","Thoracic","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Bronchiectasis","Lung sgmentectomy","Minor resection","Videoscopic","Right lateral decubitus","3","Minor resection","75.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Rectal cancer","Anterior resection","Colorectal","Open","Lithotomy","3","Colorectal","60.4","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:1-3hr"
"Colon cancer, sigmoid","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","3","Colorectal","67.9","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Parastomal hernia","Hernia repair","Colorectal","Open","Supine","3","Colorectal","69.8","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Nontuberculous mycobacterial infection","Debridement of wound","Others","Videoscopic","Right lateral decubitus","3","Others","65.6","Minor","Soft Tissue / Access / Misc","Laparoscopic","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Ovarian cyst","Ovarian cystectomy","Major resection","Videoscopic","Lithotomy","3","Major resection","78.2","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Lithotomy","Est.Duration:1-3hr"
"Ground-glass opacity","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","68.8","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Early gastric cancer","Total gastrectomy","Stomach","Robotic","Supine","3","Stomach","71.3","Major","Abdominal / GI","Robotic","Gastric Resection","Malignancy | Primary | Supine","Est.Duration:2-5hr"
"Choledochal cyst","Exploratory laparotomy","Others","Open","Supine","3","Others","77.3","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Ampulla of vater adenoma","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","80.6","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Pancreatic disease","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Robotic","Supine","3","Biliary/Pancreas","83.8","Major","Abdominal / GI","Robotic","Hepatobiliary / Pancreatic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:>6hr"
"Atherosclerosis obliterans without gangrene","Aortoiliac bypass","Vascular","Open","Supine","3","Vascular","62.5","Major","Vascular","Open","Vascular Reconstruction","Benign/Non-malignant | Primary | Supine","Est.Duration:3-6hr"
"Rectal cancer","Low anterior resection","Colorectal","Videoscopic","Supine","3","Colorectal","79.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Abnormal finding on lung imaging","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","3","Minor resection","67.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Colon cancer, rectosigmoid","Anterior resection","Colorectal","Open","Supine","3","Colorectal","60.2","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:1-3hr"
"Hyperparathyroidism","Parathyroidectomy","Thyroid","Open","Supine","3","Thyroid","66.4","Major","ENT / Head & Neck","Open","Thyroid / Parathyroid","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
"Lung cancer","Lung lobectomy","Major resection","Videoscopic","Left lateral decubitus","3","Major resection","76.0","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Mediastinal mass","Thymectomy","Others","Videoscopic","Supine","3","Others","67.3","Major","Soft Tissue / Access / Misc","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Supine","Est.Duration:2-5hr"
"Solid pseudopapillary tumor of pancreas, malignant","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Open","Supine","3","Biliary/Pancreas","71.7","Major","Abdominal / GI","Open","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Interstitial lung disease","Biopsy","Minor resection","Videoscopic","Right lateral decubitus","3","BiopsyBrain","64.1","Minor","Neuro / Spine","Laparoscopic","Access / Drainage Procedures","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:<2hr"
"Rectal cancer","Low anterior resection","Colorectal","Videoscopic","Supine","3","Colorectal","79.8","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Hepatocellular carcinoma","Liver sectionectomy","Hepatic","Videoscopic","Lithotomy","3","Hepatic","70.5","Major","Abdominal / GI","Laparoscopic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-5hr"
"Surgical wound dehiscence","Closure of wound","Others","Open","Supine","3","MiscellaneousOther","74.1","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Neuroendocrine tumor of pancreas, G1","Pylorus preserving pancreaticoduodenectomy","Biliary/Pancreas","Robotic","Supine","3","Biliary/Pancreas","76.0","Major","Abdominal / GI","Robotic","Hepatobiliary / Pancreatic Resection","Malignancy | Primary | Supine","Est.Duration:>6hr"
"Cholecystitis","Cholecystectomy","Biliary/Pancreas","Videoscopic","Supine","3","Biliary/Pancreas","74.9","Major","Abdominal / GI","Laparoscopic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Ileus","Exploratory laparotomy","Others","Open","Supine","3","Others","88.9","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer","Exploratory laparotomy","Others","Open","Supine","3","Others","80.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Colon cancer","Hemicolectomy","Colorectal","Videoscopic","Lithotomy","3","Colorectal","74.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Lithotomy","Est.Duration:2-4hr"
"Liver transplant status","Incisional hernia repair","Colorectal","Open","Supine","3","Colorectal","74.0","Minor","Abdominal / GI","Open","Colectomy / Bowel Resection","Benign/Non-malignant | Revision | Supine","Est.Duration:<2hr"
"Colon cancer","Hemicolectomy","Colorectal","Videoscopic","Supine","3","Colorectal","74.0","Major","Abdominal / GI","Laparoscopic","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Metastatic cancer to the lung unspecified side","Metastasectomy","Minor resection","Videoscopic","Left lateral decubitus","3","Minor resection","59.9","Major","Thoracic","Laparoscopic","Other Procedure","Malignancy | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Lung cancer unspecified side","Lung wedge resection","Minor resection","Videoscopic","Right lateral decubitus","3","Minor resection","69.2","Major","Thoracic","Laparoscopic","Thoracic Resection","Malignancy | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Abnormal finding on lung imaging","Lung wedge resection","Minor resection","Videoscopic","Left lateral decubitus","3","Minor resection","67.6","Major","Thoracic","Laparoscopic","Thoracic Resection","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:2-4hr"
"Perianal abscess","Incision and drainage","Others","Open","Prone","3","Others","76.7","Minor","Soft Tissue / Access / Misc","Open","Access / Drainage Procedures","Benign/Non-malignant | Primary | Prone","Est.Duration:<2hr"
"Cholecystitis","Cholecystectomy","Biliary/Pancreas","Robotic","Supine","3","Biliary/Pancreas","74.9","Major","Abdominal / GI","Robotic","Cystoscopy / TURBT","Benign/Non-malignant | Primary | Supine","Est.Duration:<2hr"
"Colon cancer, descending","Hemicolectomy","Colorectal","Open","Supine","3","Colorectal","66.3","Major","Abdominal / GI","Open","Colectomy / Bowel Resection","Malignancy | Primary | Supine","Est.Duration:2-4hr"
"Mediastinal mass","Excision","Others","Open","Right lateral decubitus","3","Others","56.9","Minor","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Lateral Decubitus","Est.Duration:1-3hr"
"Ileus","Adhesiolysis","Others","Open","Supine","3","Others","82.7","Major","Soft Tissue / Access / Misc","Open","Other Procedure","Benign/Non-malignant | Primary | Supine","Est.Duration:1-3hr"
